Category,Clue,Answer,General Subject,Specific Subject,Correct,Value,Level,Date
Whites and Colors,There are 2 symbols on this state's blue flag: a white crescent & a white palmetto tree,South Carolina,Geography,State Flags,FALSE,200,1,01/09/2023
Whites and Colors,Here's the flag of this British territory; the castle & the key symbolize its strategic importance,Gibraltar,Geography,Flags,FALSE,400,2,01/09/2023
Whites and Colors,"This state's white flag has 13 stars in a circle around an anchor & the motto ""Hope""",Rhode Island,Geography,State Flags,FALSE,600,3,01/09/2023
Whites and Colors,"Seen here is the flag of this country, the largest in Africa; green is the color of Islam & the white symbolizes purity",Algeria,Geography,Flags,FALSE,800,4,01/09/2023
Whites and Colors,"Poland's flag is white on top, red on the bottom; the colors are flipped on the flag of this country & symbolize the Grimaldi family",Monaco,Geography,Flags,FALSE,1000,5,01/09/2023
Delegates,"This delegate to the Constitutional Convention in 1787 voted against a Bill of Rights, but later drafted the one we know",Madison,History,American Revolution,TRUE,200,1,01/09/2023
Delegates,Apostolic delegates are representatives from this country to church officials in other nations,Vatican City,Religion,Christianity,TRUE,400,2,01/09/2023
Delegates,Maryland & these 2 states that split in 1863 don't have a House of Representatives but a House of Delegates,"West Virginia, Virginia",History,Civil War,TRUE,600,3,01/09/2023
Delegates,Delegates to the 1919 Congress of the Communist International included Stalin & this rival born Lev Bronstein,Trotsky,History,European History,FALSE,800,4,01/09/2023
Delegates,The Duke of Wellington & a Prussian prince were among the delegates to this 1814-15 congress in this capital,Vienna,History,European History,TRUE,1000,5,01/09/2023
"Won the Battle, Lost the War","Velazquez' ""Surrender of Breda"" shows a win for this country in its long war to prevent Dutch independence",Spain,History,European History,FALSE,400,1,01/09/2023
"Won the Battle, Lost the War","The British won the 1776 battle of the Manhattan fort named for this foe, who'd laugh last 7 years later",George Washington,History,American Revolution,TRUE,800,2,01/09/2023
"Won the Battle, Lost the War","At the Battle of Chancellorsville, he broke a basic military rule by splitting his forces but won anyway, for a while",Robert E. Lee,History,Civil War,FALSE,1200,3,01/09/2023
"Won the Battle, Lost the War",An early 1943 battle for Kharkov was the one of the last big wins for the Wehrmacht over this army,The Red Army,HIstory,WWII,TRUE,1600,4,01/09/2023
"Won the Battle, Lost the War",In 1879 this southern African kingdom wiped out a British force at Isandlwana but was soon wiped out itself,Zulu,HIstory,African History,FALSE,2000,5,01/09/2023
All the Right Movies,"""All the Right Moves"" starred a young Tom Cruise as a Pennsylvania high school kid desperate for a scholarship in this sport",Football,Film,Sports Films,TRUE,400,1,01/09/2023
All the Right Movies,"John Lindqvist's novel ""Let the Right One In"", about Eli, who is one of these creatures, was made into Swedish & American films",Vampire,Film,Movie Titles,FALSE,800,2,01/09/2023
All the Right Movies,Spike Lee broke into the front ranks of Hollywood directors with this 1989 film about racial tensions in Brooklyn,Do the Right Thing,Film,Movie Titles,FALSE,1200,3,01/09/2023
All the Right Movies,"It starred Scott Glenn as Alan Shepard, Sam Shepard as Chuck Yeager & Ed Harris as John Glenn",The Right Stuff,Film,Movie Titles,TRUE,1600,4,01/09/2023
All the Right Movies,"Annette Bening, Julianne Moore & Mark Ruffalo starred in this 2010 comedy about 2 children looking for their biological father",The Kids Are All Right,Film,Movie Titles,FALSE,2000,5,01/09/2023
Buildings and Bridges,"The Leaning Tower of Pisa is actually a bell tower, this in Italian",Campanile,Linguistics,Italian,FALSE,400,1,01/09/2023
Buildings and Bridges,"During World War II, Allied prisoners of war really did build a bridge over this Thai river; a simple black iron bridge is still there",Kwai,Geography,Asia,FALSE,800,2,01/09/2023
Buildings and Bridges,"n Rome, the building called this is an ancient but active church; the one in Paris is a mausoleum",Pantheon,Art,Architecture,FALSE,1200,3,01/09/2023
Buildings and Bridges,"In 2018 New York's governor signed a bill adding a second ""Z"" to the name of this bridge, rectifying an earlier misspelling",Verrazzano,Geography,America,FALSE,1600,4,01/09/2023
Buildings and Bridges,"The UK's tallest building, this London skyscraper, is so named because it looks like a big piece of glass",The Shard,Art,Architecture,FALSE,2000,5,01/09/2023
Solve the Mystery Title,"A Philip Marlowe novel: ""The Big"" this",Sleep,Literature,Book Titles,FALSE,400,1,01/09/2023
Solve the Mystery Title,"Scott Turow's debut novel: ""Presumed"" this",Innocent,Literature,Book Titles,FALSE,800,2,01/09/2023
Solve the Mystery Title,"A Tea Shop Mystery: the alliterative ""Death by"" this Indian variety",Darjeeling,Literature,Book Titles,FALSE,1200,3,01/09/2023
Solve the Mystery Title,"Agatha Christie: ""Murder in"" this ancient region",Mesopotamia,Literature,Book Titles,FALSE,1600,4,01/09/2023
Solve the Mystery Title,"Richard Osman's heartwarming mystery featuring 4 elderly sleuths: ""The"" this ""Murder Club""",Thursday,Literature,Book Titles,FALSE,2000,5,01/09/2023
Remember Your Phrase-ing,"A prickly sensation in the limbs is called these 2 things; add ""on"" to get nervous anticipation",Pins and Needles,Linguistics,Idioms,FALSE,400,1,01/09/2023
Remember Your Phrase-ing,This phrase meaning something currently in fashion has its origins in a special ice cream offered for a certain span of time,Flavor of the Month,Linguistics,Idioms,FALSE,800,2,01/09/2023
Remember Your Phrase-ing,"This French phrase literally means ""pen name""",Nom de Plume,Linguistics,French,FALSE,1200,3,01/09/2023
Remember Your Phrase-ing,"Really fast progress is ""made by"" these 2 things, both synonyms for jumps",Leaps and Bounds,Linguistics,Idioms,TRUE,1600,4,01/09/2023
Remember Your Phrase-ing,This phrase is an allusion to a fable in which a canine selfishly prevents an ox from eating some hay,A Dog in the Manger,Linguistics,Idioms,FALSE,2000,5,01/09/2023
USA,"ronically, though this company founded in the 1860s is Moore county, Tennessee's largest employer, Moore is a dry county",Jack Daniels,Business,Companies,FALSE,0,6,01/09/2023
The President Immediately Before...,Barack Obama,George Bush,Politics,Presidents,TRUE,200,1,01/06/2023
The President Immediately Before...,Andrew Johnson,Abraham Lincoln,Politics,Presidents,TRUE,400,2,01/06/2023
The President Immediately Before...,John F. Kennedy,Eisenhower,Politics,Presidents,FALSE,600,3,01/06/2023
The President Immediately Before...,Andrew Jackson,John Quincy Adams,Politics,Presidents,FALSE,800,4,01/06/2023
The President Immediately Before...,Warren Harding,Woodrow Wilson,Politics,Presidents,FALSE,1000,5,01/06/2023
A Trip to the Islands,"The ""Big Island"" of the Tierra del Fuego archipelago is shared between Argentina & this country",Chile,Geography,South America,TRUE,200,1,01/06/2023
A Trip to the Islands,The migration of the red crabs is an annual spectacle on this Indian Ocean island named for a holiday,Christmas Island,Geography,Islands,FALSE,400,2,01/06/2023
A Trip to the Islands,"This 2,200-square-mile Canadian island was named for a son of George III",Prince Edward Island,Geography,Islands,TRUE,600,3,01/06/2023
A Trip to the Islands,An island called the Phantom Ship rises from the water inside a volcanic caldera in this Oregon national park,Crater Lake,Geography,National Parks,FALSE,800,4,01/06/2023
A Trip to the Islands,On this Greek island you can soak up the sun on Elafonisi Beach or tour the ruins of the ancient palace of Knossos,Crete,Geography,Islands,TRUE,1000,5,01/06/2023
The Whole Tooth,Oral-B has a nighttime guard that helps you with this problem,Grinding Your Teeth,Business,Companies,TRUE,200,1,01/06/2023
The Whole Tooth,"Alice in Wonderland encountered this creature that had ""a great many teeth"", which showed when it grinned",Cheshire Cat,Literature,Alice in Wonderland,FALSE,400,2,01/06/2023
The Whole Tooth,"The nutria, or swamp beaver, has orange teeth because this hard layer of their teeth is high in iron",Enamel,Science,Anatomy,TRUE,600,3,01/06/2023
The Whole Tooth,Stained or crooked teeth can be treated by bonding a porcelain one of these thin layers to the front of the tooth,Veneer,Science,Medicine,FALSE,800,4,01/06/2023
The Whole Tooth,"Types of teeth in the adult human mouth include molars, premolars, incisors & these, also called eyeteeth",Canines,Science,Anatomy,TRUE,1000,5,01/06/2023
We're on the Case,"An online video by Samsonite is titled ""What can you fit in a large"" this?",Suitcase,Business,Companies,FALSE,200,1,01/06/2023
We're on the Case,Småstad/uppföra is a line of bookcases from this retaile,Ikea,Business,Companies,TRUE,400,2,01/06/2023
We're on the Case,"In French, a clever remark you only think of after you've left is esprit de l'escalier, ""wit of"" this structure",Staircase,Linguistics,French,FALSE,600,3,01/06/2023
We're on the Case,A standard case of beer contains this many bottles or cans,24,General Knowledge,Alcohol,FALSE,800,4,01/06/2023
We're on the Case,Majuscule,Uppercase,Linguistics,Vocabulary,FALSE,1000,5,01/06/2023
Colorful People,"This alternative rocker from Detroit mispronounced ""Salvation Army"" as a kid, leading to the title ""Seven Nation Army""",Jack White,Music,Pop,FALSE,200,1,01/06/2023
Colorful People,This great defender & multiple NBA Championship winner has also done a Subway footlong commercial,Daymond Green,Sports,Basketball,FALSE,400,2,01/06/2023
Colorful People,"This actress appeared with Patrick Swayze in ""Red Dawn"" & ""Dirty Dancing""",Grey,Film,Actors,FALSE,600,3,01/06/2023
Colorful People,"This country superstar's hits include ""A Better Man"" & ""Killin' Time""",Clint Black,Music,Country,FALSE,800,4,01/06/2023
Colorful People,"With her sister Savannah, this actress & onetime love of Jude Law started the fashion line Twenty8Twelve",Sienna Miller,Business,Companies,FALSE,1000,5,01/06/2023
Letter Perfect,"Traditionally it ""marks the spot""",X,Linguistics,Vocabulary,TRUE,200,1,01/06/2023
Letter Perfect,"To distinguish himself from the basketball legend, ""Creed"" actor Michael Jordan uses this middle initi",B,Film,Actors,FALSE,400,2,01/06/2023
Letter Perfect,"The author of ""As I Lay Dying"" added this letter to the family name",U,Literature,Authors,FALSE,600,3,01/06/2023
Letter Perfect,Chicago's rapid transit system; the South Side section opened in 1892,L,Geography,Cities,FALSE,800,4,01/06/2023
Letter Perfect,t's the chemical symbol for tungsten,W,Science,Chemistry,TRUE,1000,5,01/06/2023
Native American Self-Names,"The Wichita call themselves Kitikiti'sh, meaning this animal's ""eyes"", because of tattoos around their own eyes",Raccoon,Geography,People,TRUE,400,1,01/06/2023
Native American Self-Names,This large southwestern people call themselves the Diné & named mystery writer Tony Hillerman special friend to the Diné,Navajo,Geography,People,TRUE,800,2,01/06/2023
Native American Self-Names,"The Winnebago of this state replaced that name, referring to ""stinking water"", with Ho-Chunk, ""people of the big voice""",Wisconsin,Geography,People,FALSE,1200,3,01/06/2023
Native American Self-Names,"Ca.'s Gabrielinos got that name after the San Gabriel Arcángel one of these, which their labor built; their self-name is Tongva",Mission,Geography,People,FALSE,1600,4,01/06/2023
Native American Self-Names,"The Cayugas' self-name means ""people of the great swamp"", Cayuga being one of this group of lakes in New York State",Finger Lakes,Geography,Lakes,FALSE,2000,5,01/06/2023
Legally Speaking,A jury that's unable to reach a verdict is said to be this 4-letter word,Hung,Law,Legal Terms,TRUE,400,1,01/06/2023
Legally Speaking,"No prison time, but you will help your fellow man with 100 hours of this, begun as work assignments for traffic offenders in 1966",Community Service,Law,Legal Terms,TRUE,800,2,01/06/2023
Legally Speaking,"Rhyming with ""offer"", in criminal law it's an offer of evidence by a defendant that may lead to a reduced sentence",Proffer,Law,Legal Terms,TRUE,1200,3,01/06/2023
Legally Speaking,"Rhyming with ""offer"", in criminal law it's an offer of evidence by a defendant that may lead to a reduced sentence",Medical Malpractice,Law,Legal Terms,TRUE,1600,4,01/06/2023
Legally Speaking,"A right of way is a type of this, which generally means an acquired right to use another person's land for a special purpose",Easement,Law,Legal Terms,FALSE,2000,5,01/06/2023
Record of the Year Grammys,"For 1998: This love theme from ""Titanic""",My Heart Will Go On,Music,Grammy,TRUE,400,1,01/06/2023
Record of the Year Grammys,"For 1968: This duo's ""Mrs. Robinson""",Simon and Garfunkel,Music,Grammy,TRUE,800,2,01/06/2023
Record of the Year Grammys,"For 1984: This ""questionable"" track by Tina Turner",What's Love Got to do with It,Music,Grammy,FALSE,1200,3,01/06/2023
Record of the Year Grammys,"Back to back in the 1970s: Her ""The First Time Ever I Saw Your Face"" and ""Killing Me Softly with His Song""",Roberta Flack,Music,Grammy,FALSE,1600,4,01/06/2023
Record of the Year Grammys,"For 2021: ""Leave the Door Open"" by this duo",Silk Sonic,Music,Grammy,FALSE,2000,5,01/06/2023
Add a Syllable,To a verb meaning to go in to get this verb meaning to provide amusement,Entertain,Linguistics,Vocabulary,TRUE,400,1,01/06/2023
Add a Syllable,"To a piece of nighttime furniture to get this, what a journalist does when sticking with a military unit",Embed,Linguistics,Vocabulary,TRUE,800,2,01/06/2023
Add a Syllable,To a pipe or tube to get this verb meaning to give musical direction,Conduct,Linguistics,Vocabulary,TRUE,1200,3,01/06/2023
Add a Syllable,To a synonym for befitting or correct to get this synonym for a possession,Property,Linguistics,Vocabulary,FALSE,1600,4,01/06/2023
Add a Syllable,To a word for sensitivity around another person & get this word meaning whole & untouched,Intact,Linguistics,Vocabulary,FALSE,2000,5,01/06/2023
Workers of the World,The Tolpuddle Martyrs were 6 British farm workers who were sent far away to this land in 1834 for trying to start a union,Australia,HIstory,European History,FALSE,400,1,01/06/2023
Workers of the World,"Job of Alexei Stakhanov, such a model for Soviet workers that a city & a word meaning ""hard worker"" bear his name",Coal Miner,HIstory,European History,FALSE,800,2,01/06/2023
Workers of the World,"Samuel Gompers helped develop this type of contract bargaining, negotiations by unions on behalf of the workers",Collective,Law,Legal Terms,TRUE,1200,3,01/06/2023
Workers of the World,"Labor organizer & presidential nominee Eugene V. Debs was known for his pamphlet ""Unionism and"" this other ""-ism",Socialism,History,American History,TRUE,1600,4,01/06/2023
Workers of the World,"The Norris-La Guardia Act of 1932 outlawed this ""canine"" contract in which an employee agrees not to join a union",Yellow Dog,Law,Legal Terms,FALSE,2000,5,01/06/2023
"You, Knight","In a William Steig tale, a knight says to this title ogre, ""Magician's mercury, plumber's lead, I smite your stupid, scabby head""",Shrek,Literature,Fables,TRUE,400,1,01/06/2023
"You, Knight","This man who got a Sir on his name when he was made a baronet in 1820 wrote tales of knights like ""Ivanhoe""",Walter Scott,Literature,Authors,FALSE,800,2,01/06/2023
"You, Knight","Part of a larger work, ""The Knight's Tale"" by this author begins, ""Whilom, as olde stories tellen us""",Chaucer,Literature,Authors,FALSE,1200,3,01/06/2023
"You, Knight","When a green-skinned party crasher on a green horse ruins Christmas at Camelot, this nephew of Arthur isn't having it",Gawain,Literature,Fables,FALSE,1600,4,01/06/2023
"You, Knight","A giant swan dominates the ballet ""Bacchanale"", in which a king transforms into this Wagner title knight",Lohengrin,Dance,Ballet,FALSE,2000,5,01/06/2023
Historic People,"After a 1789 event, he wrote, ""My first determination was to seek a supply of... water at Tofoa, & afterwards to sail for Tongataboo""",Bligh,History,World History,FALSE,0,6,01/06/2023
So That Happened,79 AD: It's Stablae vs. this volcano-Stablae takes the L,Vesuvius,Classics,Roman History,TRUE,200,1,01/05/2023
So That Happened,"July 20, 1969: The world hears, ""Houston"", this ""base here. The Eagle has landed""",Tranquility,History,Space History,FALSE,400,2,01/05/2023
So That Happened,"1901: This rebellion in China ends, with a reported 100,000 dead",The Boxer Rebellion,History,Asian History,TRUE,600,3,01/05/2023
So That Happened,"Sept. 11, 1971: Turns out ""We will bury you!"" will aply directly to this ex-leader of the Soviet Union",Krushchev,History,European History,FALSE,800,4,01/05/2023
So That Happened,"Sept. 2. 1666: He journals about ""a great fire.. in the city""",Samuel Pepys,History,European History,FALSE,1000,5,01/05/2023
Bring it!,"You ""bring home"" this meat idiomatically when you earn income, but pick some up for real for our breakfast tomorrow",Bacon,Linguistics,Idioms,FALSE,200,1,01/05/2023
Bring it!,"Let's go to the park & bring Bonkers, this dog breed here that can vocalize three different ways--a bark, a yodel-like bay & a howl",Beagle,Science,Biology,TRUE,400,2,01/05/2023
Bring it!,"In Exodus 25 the Lord tells him, ""Speak unto the children of Israel, that they bring me an offering""",Moses,Religion,Torah,TRUE,600,3,01/05/2023
Bring it!,"For our potluck, please bring the chicken dish named for this capital, famed for emitting a stream of butter when you cut into it",Kiev,General Knowledge,Cooking,TRUE,800,4,01/05/2023
Bring it!,"""The Untouchables"" popularized a new expression for ill-preparedness as Sean Connery talks about bringing ""a knife to"" this",Gunfight,Linguistics,Idioms,TRUE,1000,5,01/05/2023
Colleges Named After People,"When this Houston U. opened in 1912, its founder was dead via chloroform (his killers having failed with mercury pills)",Rice,Geography,Universities,TRUE,200,1,01/05/2023
Colleges Named After People,"This university was chartered in 1821 after a bequest from Montreal merchant James, not ""Slippin' Jimmy"" of ""Better Call Saul"" fame",McGill,Geography,Universities,TRUE,400,2,01/05/2023
Colleges Named After People,This D.C. university is named for the educator who opened a school for deaf students in 1817,Gallaudet,Geography,Universities,FALSE,600,3,01/05/2023
Colleges Named After People,"""Hairy"" last name of Medford, Massachusetts' Charles, benefactor of a university there",Tufts,Geography,Universities,FALSE,800,4,01/05/2023
Colleges Named After People,"In 1927, the year after the woman it's named for had died, this college became officially affiliated with Vassar",Sarah Lawrence,Geography,Universities,FALSE,1000,5,01/05/2023
Not Chicken Feed,These leaves are the dietary staple of the koala,Eucalyotus,Science,Biology,TRUE,200,1,01/05/2023
Not Chicken Feed,"Wild these subsist almost entirely on bamboo; in captivity, Mei Xiang also gets fruit, vegetables & special biscuits",Pandas,Science,Biology,TRUE,400,2,01/05/2023
Not Chicken Feed,African this-eating snakes can smell whether a prospective meal is rotten or far along in development; it won't eat either,Egg,Science,Biology,TRUE,600,3,01/05/2023
Not Chicken Feed,"These ""regal"" butterflies eat nectar, but as caterpillars, they love usually toxic milkweed leaves",Monarch Butterflies,Science,Biology,TRUE,800,4,01/05/2023
Not Chicken Feed,Black-footed these little weasels eat mostly prairie dogs & add insult to injury by taking over their burrows,Ferrets,Science,Biology,TRUE,1000,5,01/05/2023
Nationality Rhymes,Ground fortification for those fighting for Calais,French Trench,Geography,People,FALSE,200,1,01/05/2023
Nationality Rhymes,A toad or frog in Tripoli,Libyan Amphibian,Geography,People,FALSE,400,2,01/05/2023
Nationality Rhymes,A scream in Thessaloniki,Greek Shriek,Geography,People,FALSE,600,3,01/05/2023
Nationality Rhymes,A nimble Bangkok fellow,Spry Thai,Geography,People,FALSE,800,4,01/05/2023
Nationality Rhymes,A group of soldiers in Trieste,Italian Battalion,Geography,People,FALSE,1000,5,01/05/2023
Choose Your Fighter,"Animated ""Mysteries"" starring this ex-champ include ""House Haunters"" & ""A Mine is a Terrible Thing to Waste""",Mike Tyson,Sports,Boxing,FALSE,200,1,01/05/2023
Choose Your Fighter,"eorges St-Pierre used his signature ""Superman punch"" in a scene against this hero, but mostly worked with Chris Evans' stunt double",Captain America,Film,Actors,FALSE,400,2,01/05/2023
Choose Your Fighter,"Aka ""Pretty Boy Floyd"", he retired at a perfect 50-0 & enjoys gambling, putting $800,000 on the Broncos over the Jets in 2014",Mayweather,Sports,Boxing,FALSE,600,3,01/05/2023
Choose Your Fighter,"""Founder of Jeet Kune Do"" is on his grave in Seattle's Lake View Cemetery, next to his son Brandon's",Bruce Lee,Film,Actors,FALSE,800,4,01/05/2023
Choose Your Fighter,"Trainer Yancey Durham took this man from a Police Athletic League gym to the heavyweight title & gave him his ""Smokin""' nickname",Joe Frazier,Sports,Boxing,FALSE,1000,5,01/05/2023
Modern Egypt,"In 2022 this capital got its first walkway beside the Nile, along the route of the Corniche Highway",Cairo,Geography,World Capitals,FALSE,400,1,01/05/2023
Modern Egypt,"On March 8, 1957 & on June 5, 1975, Egypt reopened this waterway following international conflicts",Suez Canal,Geography,North Africa,TRUE,800,2,01/05/2023
Modern Egypt,"Abu al-Abbas al-Mursi, Alexandria's largest of these buildings, was designed in current form by Italians & inaugurated in 1945",Mosque,Art,Architecture,FALSE,1200,3,01/05/2023
Modern Egypt,"Under a peace treaty with Israel, this region was returned to Egypt in 1982",Sinai Peninsula,Geography,Middle East,TRUE,1600,4,01/05/2023
Modern Egypt,"After the tumultuous Arab Spring & an election win by the Muslim Brotherhood, this former general became president in 2014 & still is",El-Sisi,Politics,Leaders,FALSE,2000,5,01/05/2023
The Life of Riley,"This former coach of the Lakers, Heat & Knicks was inducted into the Naismith Hall of Fame in 2008",Pat Riley,Sports,Basketball,FALSE,400,1,01/05/2023
The Life of Riley,Actress Riley Keough'smaternal grandparents are Priscilla & this man,Elvis Presley,Film,Actors,FALSE,800,2,01/05/2023
The Life of Riley,The work of op artist Bridget Riley was influenced by studying Georges Seurat & this neo-impressionist style he created,Pointillism,Art,Art History,FALSE,1200,3,01/05/2023
The Life of Riley,Congressman Riley Wilson wanted to be governor of Louisiana in 1928 but lost out to this larger-than-life man,Huey Long,History,American History,TRUE,1600,4,01/05/2023
The Life of Riley,"Mortally wounded in action in Vietnam in 1967, Captain Riley Pitts became the first African-American officer to receive this",Medal of Honor,History,Military History,TRUE,2000,5,01/05/2023
The Doomsday Book,"The Battle of Yonkers is a zombie win in this Max Brooks novel, but humans, do not despair!",World War Z,Literature,Book Titles,TRUE,400,1,01/05/2023
The Doomsday Book,"In ""Station"" this, ""of all of them there... that night, the bartender was the one who survived the longest. He died three weeks later""",Station Eleven,Literature,Book Titles,FALSE,800,2,01/05/2023
The Doomsday Book,"The blindfold returns in--& on--""Malorie"", the sequel to this ""avian"" horror novel",Bird Box,Literature,Book Titles,FALSE,1200,3,01/05/2023
The Doomsday Book,"n the opening of this P.D. James novel, ""The last human being to be born on Earth was killed in a pub brawl""",The Children of Men,Literature,Book Titles,FALSE,1600,4,01/05/2023
The Doomsday Book,"This Canadian tells of Snowman, possibly the last human, in her novel ""Oryx and Crake""",Atwood,Literature,Book Characters,FALSE,2000,5,01/05/2023
Many Rivers to Cross,The Black Hawk Bridge & the Old Vicksburg Bridge are 2 of the many ways to get across this river,The Mississippi,Geography,Rivers,FALSE,400,1,01/05/2023
Many Rivers to Cross,"Connecting Rotherhithe & Wapping, the world's first big underwater tunnel was completed in 1843 beneath this river",The Thames,Geography,Rivers,FALSE,800,2,01/05/2023
Many Rivers to Cross,"uring the annual Great Migration, herds of wildebeest & zebras cross crocodile-infested rivers in the Masai Mara in this country",Kenya,Geography,Rivers,FALSE,1200,3,01/05/2023
Many Rivers to Cross,The Vasco da Gama Bridge was completed in 1998 across this big river in a European capital,Tagus,Geography,Rivers,FALSE,1600,4,01/05/2023
Many Rivers to Cross,"The former Fiumicino River is officially identified as this fateful ancient crossing site, but some argue for the Pisciatello or Uso",The Rubicon,Classics,Roman History,TRUE,2000,5,01/05/2023
TV: Who Played 'Em?,"Fonzie on ""Happy Days"" & Gene Cousineau on ""Barry""",Henry Winkler,Television,Actors,FALSE,400,1,01/05/2023
TV: Who Played 'Em?,Jack Baur and President Tom Kirkman,Sutherland,Television,Actors,FALSE,800,2,01/05/2023
TV: Who Played 'Em?,Dr. Cristina Yang and Eve Polastri,Sandra Oh,Television,Actors,FALSE,1200,3,01/05/2023
TV: Who Played 'Em?,Stringer Bell and John Luther,Elba,Television,Actors,FALSE,1600,4,01/05/2023
TV: Who Played 'Em?,"Audra Barkley on ""The Big Valley"" & in the '80s, Krystle Carrington",Linda Evans,Television,Actors,FALSE,2000,5,01/05/2023
Cliches,"Completes the cliche ""All dressed up..."", suggested as the epitaph for an atheist",And Nowhere to Go,Linguistics,Idioms,FALSE,400,1,01/05/2023
Cliches,This simile compares someone who looks not at all tired to a flower with white rays & a yellow disk,Fresh as a Daisy,Linguistics,Idioms,FALSE,800,2,01/05/2023
Cliches,"Samuel Taylor's great-grandniece Mary Elizabeth Coleridge began a poem do this, ""my beating heart""",Be still,Literature,Poetry,TRUE,1200,3,01/05/2023
Cliches,"Lake Superior State U.'s 2022 overused ""banished words"" include this phrase that follows an embarrassing query really about oneself",Asking for a Friend,Linguistics,Idioms,FALSE,1600,4,01/05/2023
Cliches,"To mean an overall picture, instead of ""the view from"" this high, people could say ""from 5.68 miles""","30,000 feet",Linguistics,Idioms,FALSE,2000,5,01/05/2023
The Movies,Laurence Olivier & Ernest Borgnine were considered for the lead role & Sergio Leone to direct for this film that turned 50 in 2022,The Godfather,Film,Movie Titles,FALSE,0,6,01/05/2023
On Your State's Left,"f you're near the border in Terre Haute, Indiana & want to go west, young man, you head directly into this state",Illinois,Geography,States,FALSE,200,1,01/04/2023
On Your State's Left,The Maine way to the left is into this state; head to the right & you've left the country,New Hampshire,Geography,States,FALSE,400,2,01/04/2023
On Your State's Left,"Geographically, this state borders Alabama on the left, but both look up to Tennessee",Mississippi,Geography,States,TRUE,600,3,01/04/2023
On Your State's Left,"It's to the left for a majority of Wisconsin, as it stands atop Iowa",Minnesota,Geography,States,FALSE,800,4,01/04/2023
On Your State's Left,"It's the leftward neighbor of North Dakota, & there's plenty of room left for you if you'd like to move there",Montana,Geography,States,TRUE,1000,5,01/04/2023
"Buy, and Large","This company has lived up to its name with purchases of FleetBoston, Merrill Lynch & U.S. Trust Corporation",Bank of America,Business,Companies,FALSE,200,1,01/04/2023
"Buy, and Large",This ketchup brand was able to catch up with $23 billion when it was acquired by Berkshire Hathaway in 2013,Heinz,Business,Companies,TRUE,400,2,01/04/2023
"Buy, and Large","In 2014 $130 billion changed hands as Vodafone was bought out of this other ""V"" company's wireless biz",Verizon,Business,Companies,TRUE,600,3,01/04/2023
"Buy, and Large",In 2022 this software giant said it was making a macropayment of $68.7 billion to purchase Activision/Blizzard,Microsoft,Business,Companies,TRUE,800,4,01/04/2023
"Buy, and Large",In 2022 this mega-grocer of Ohio was set to merge with another giant among supermarkets: Albertson,Kroger's,Business,Companies,FALSE,1000,5,01/04/2023
Surnames,This name meaning a grinder of grain is among the USA's 10 most popular surnames,Miller,General Knowledge,Names,FALSE,200,1,01/04/2023
Surnames,"Of surnames that are colors, this one is the most prevalent in the United States",Brown,General Knowledge,Names,FALSE,400,2,01/04/2023
Surnames,"Of Indian descent, golfer Vijay has this last name derived from the Sanskrit word for ""lion""",Singh,Linguistics,Sanskrit,FALSE,600,3,01/04/2023
Surnames,"Meaning ""mower of grass or hay"", it was the last name of puritan ministers Increase & Cotton",Mather,Religion,Christianity,FALSE,800,4,01/04/2023
Surnames,his 7-letter German surname is the equivalent of blacksmith or metalworker,Schmidt,Linguistics,German,FALSE,1000,5,01/04/2023
The Actors in that Movie,"2018: Hey, Emily Blunt and John Krasinski! Keep it down!",A Quiet Place,Film,Movie Titles,FALSE,200,1,01/04/2023
The Actors in that Movie,"1993: Bill Murray, Andie MacDowell and a cameo by Scooter as the creature mentioned in the title",Groundhog Day,Film,Movie Titles,TRUE,400,2,01/04/2023
The Actors in that Movie,"1997: Travolta / Cage, as only Travolta / Cage could do it",Face/Off,Film,Movie Titles,FALSE,600,3,01/04/2023
The Actors in that Movie,2019: Driver vs. Johansson,A Marriage Story,FIlm,Movie Titles,FALSE,800,4,01/04/2023
The Actors in that Movie,"2008: Colin Farrell and Brendan Gleeson visit Belgium and reunite in 2022 for ""The Banshee of Inisherin""",In Bruges,Film,Movie Titles,FALSE,1000,5,01/04/2023
"Start ""Off""",It means very much not taking the beaten path,Off-road,Linguistics,Vocabulary,FALSE,200,1,01/04/2023
"Start ""Off""",This 7-letter word for a type of extemporaneous remark ends with a body part,Offhand,Linguistics,Vocabulary,FALSE,400,2,01/04/2023
"Start ""Off""",This avant-garde double-talk New York theater movement is 2 steps away from the mainstream,Off-Off-Broadway,Theater,Theater Terms,FALSE,600,3,01/04/2023
"Start ""Off""",Who knows that this is the job of someone conducting a wedding? I do!,Officiant,Linguistics,Vocabulary,FALSE,800,4,01/04/2023
"Start ""Off""","What we somewhat euphemistically call variety meats, the British call this unpleasant-sounding word",Offal,Linguistics,Vocabulary,FALSE,1000,5,01/04/2023
Write Foot,"Beginning readers may learn about trick feet & sick feet in ""The Foot Book"" by this author whose real name was Theodor Geisel",Dr. Seuss,Literature,Dr. Seuss,TRUE,200,1,01/04/2023
Write Foot,"In this Grimm tale, one sister cuts off a toe to fit into a golden shoe; the other, part of her heel; the title girl, a perfect fit!",Cinderella,Literature,Fables,TRUE,400,2,01/04/2023
Write Foot,"After landing in Oz, Dorothy is dismayed to see this woman's lifeless feet ""shod in silver shoes with pointed toes""",Wicked Witch of the East,Literature,Wizard of Oz,TRUE,600,3,01/04/2023
